shortdate,stringdate,tweet_grade,tweet
6/22/2019,6/22/2019,1,106
6/22/2019,6/22/2019,2,363
6/22/2019,6/22/2019,3,1381
6/22/2019,6/22/2019,4,819
6/22/2019,6/22/2019,5,899
6/23/2019,6/23/2019,1,64
6/23/2019,6/23/2019,2,222
6/23/2019,6/23/2019,3,732
6/23/2019,6/23/2019,4,479
6/23/2019,6/23/2019,5,534
6/24/2019,6/24/2019,1,79
6/24/2019,6/24/2019,2,180
6/24/2019,6/24/2019,3,644
6/24/2019,6/24/2019,4,352
6/24/2019,6/24/2019,5,294
6/25/2019,6/25/2019,1,45
6/25/2019,6/25/2019,2,92
6/25/2019,6/25/2019,3,324
6/25/2019,6/25/2019,4,196
6/25/2019,6/25/2019,5,173
6/26/2019,6/26/2019,1,281
6/26/2019,6/26/2019,2,772
6/26/2019,6/26/2019,3,1107
6/26/2019,6/26/2019,4,1457
6/26/2019,6/26/2019,5,1168
6/27/2019,6/27/2019,1,44
6/27/2019,6/27/2019,2,154
6/27/2019,6/27/2019,3,576
6/27/2019,6/27/2019,4,360
6/27/2019,6/27/2019,5,350
6/28/2019,6/28/2019,1,48
6/28/2019,6/28/2019,2,177
6/28/2019,6/28/2019,3,503
6/28/2019,6/28/2019,4,399
6/28/2019,6/28/2019,5,316
6/29/2019,6/29/2019,1,35
6/29/2019,6/29/2019,2,113
6/29/2019,6/29/2019,3,397
6/29/2019,6/29/2019,4,274
6/29/2019,6/29/2019,5,226
6/30/2019,6/30/2019,1,30
6/30/2019,6/30/2019,2,149
6/30/2019,6/30/2019,3,714
6/30/2019,6/30/2019,4,335
6/30/2019,6/30/2019,5,286
7/2/2019,7/2/2019,1,45
7/2/2019,7/2/2019,2,137
7/2/2019,7/2/2019,3,526
7/2/2019,7/2/2019,4,271
7/2/2019,7/2/2019,5,295
7/3/2019,7/3/2019,1,59
7/3/2019,7/3/2019,2,185
7/3/2019,7/3/2019,3,641
7/3/2019,7/3/2019,4,332
7/3/2019,7/3/2019,5,338
7/4/2019,7/4/2019,1,80
7/4/2019,7/4/2019,2,205
7/4/2019,7/4/2019,3,921
7/4/2019,7/4/2019,4,441
7/4/2019,7/4/2019,5,520
7/5/2019,7/5/2019,1,47
7/5/2019,7/5/2019,2,100
7/5/2019,7/5/2019,3,358
7/5/2019,7/5/2019,4,205
7/5/2019,7/5/2019,5,206
7/6/2019,7/6/2019,1,29
7/6/2019,7/6/2019,2,108
7/6/2019,7/6/2019,3,391
7/6/2019,7/6/2019,4,160
7/6/2019,7/6/2019,5,184
7/7/2019,7/7/2019,1,190
7/7/2019,7/7/2019,2,277
7/7/2019,7/7/2019,3,1038
7/7/2019,7/7/2019,4,597
7/7/2019,7/7/2019,5,684
7/8/2019,7/8/2019,1,232
7/8/2019,7/8/2019,2,862
7/8/2019,7/8/2019,3,1977
7/8/2019,7/8/2019,4,1333
7/8/2019,7/8/2019,5,1296
7/9/2019,7/9/2019,1,116
7/9/2019,7/9/2019,2,343
7/9/2019,7/9/2019,3,973
7/9/2019,7/9/2019,4,443
7/9/2019,7/9/2019,5,399
7/10/2019,7/10/2019,1,64
7/10/2019,7/10/2019,2,154
7/10/2019,7/10/2019,3,365
7/10/2019,7/10/2019,4,281
7/10/2019,7/10/2019,5,215
7/11/2019,7/11/2019,1,48
7/11/2019,7/11/2019,2,221
7/11/2019,7/11/2019,3,881
7/11/2019,7/11/2019,4,432
7/11/2019,7/11/2019,5,353
7/1/2019,7/1/2019,1,29
7/1/2019,7/1/2019,2,72
7/1/2019,7/1/2019,3,249
7/1/2019,7/1/2019,4,162
7/1/2019,7/1/2019,5,122
