shortdate,stringdate,tweet_grade,tweet
6/1/2019,6/1/2019,1,12
6/1/2019,6/1/2019,2,25
6/1/2019,6/1/2019,3,160
6/1/2019,6/1/2019,4,85
6/1/2019,6/1/2019,5,83
6/2/2019,6/2/2019,1,1
6/2/2019,6/2/2019,2,4
6/2/2019,6/2/2019,3,31
6/2/2019,6/2/2019,4,18
6/2/2019,6/2/2019,5,25
6/3/2019,6/3/2019,1,22
6/3/2019,6/3/2019,2,71
6/3/2019,6/3/2019,3,300
6/3/2019,6/3/2019,4,401
6/3/2019,6/3/2019,5,198
6/4/2019,6/4/2019,1,22
6/4/2019,6/4/2019,2,70
6/4/2019,6/4/2019,3,323
6/4/2019,6/4/2019,4,178
6/4/2019,6/4/2019,5,217
6/7/2019,6/7/2019,1,30
6/7/2019,6/7/2019,2,89
6/7/2019,6/7/2019,3,402
6/7/2019,6/7/2019,4,235
6/7/2019,6/7/2019,5,260
6/11/2019,6/11/2019,1,78
6/11/2019,6/11/2019,2,259
6/11/2019,6/11/2019,3,650
6/11/2019,6/11/2019,4,453
6/11/2019,6/11/2019,5,462
6/12/2019,6/12/2019,1,73
6/12/2019,6/12/2019,2,235
6/12/2019,6/12/2019,3,620
6/12/2019,6/12/2019,4,401
6/12/2019,6/12/2019,5,514
6/13/2019,6/13/2019,1,188
6/13/2019,6/13/2019,2,359
6/13/2019,6/13/2019,3,1348
6/13/2019,6/13/2019,4,698
6/13/2019,6/13/2019,5,738
6/14/2019,6/14/2019,1,125
6/14/2019,6/14/2019,2,219
6/14/2019,6/14/2019,3,590
6/14/2019,6/14/2019,4,425
6/14/2019,6/14/2019,5,438
6/17/2019,6/17/2019,2,1
6/17/2019,6/17/2019,3,26
6/17/2019,6/17/2019,4,11
6/17/2019,6/17/2019,5,2
6/18/2019,6/18/2019,1,19
6/18/2019,6/18/2019,2,39
6/18/2019,6/18/2019,3,111
6/18/2019,6/18/2019,4,56
6/18/2019,6/18/2019,5,43
6/19/2019,6/19/2019,1,30
6/19/2019,6/19/2019,2,67
6/19/2019,6/19/2019,3,123
6/19/2019,6/19/2019,4,83
6/19/2019,6/19/2019,5,77
6/21/2019,6/21/2019,1,40
6/21/2019,6/21/2019,2,137
6/21/2019,6/21/2019,3,603
6/21/2019,6/21/2019,4,339
6/21/2019,6/21/2019,5,349
6/22/2019,6/22/2019,1,40
6/22/2019,6/22/2019,2,126
6/22/2019,6/22/2019,3,639
6/22/2019,6/22/2019,4,288
6/22/2019,6/22/2019,5,234
6/23/2019,6/23/2019,1,3
6/23/2019,6/23/2019,2,8
6/23/2019,6/23/2019,3,35
6/23/2019,6/23/2019,4,14
6/23/2019,6/23/2019,5,24
6/24/2019,6/24/2019,1,159
6/24/2019,6/24/2019,2,372
6/24/2019,6/24/2019,3,993
6/24/2019,6/24/2019,4,646
6/24/2019,6/24/2019,5,427
6/25/2019,6/25/2019,1,23
6/25/2019,6/25/2019,2,58
6/25/2019,6/25/2019,3,170
6/25/2019,6/25/2019,4,89
6/25/2019,6/25/2019,5,58
6/26/2019,6/26/2019,1,95
6/26/2019,6/26/2019,2,186
6/26/2019,6/26/2019,3,361
6/26/2019,6/26/2019,4,233
6/26/2019,6/26/2019,5,240
6/29/2019,6/29/2019,1,82
6/29/2019,6/29/2019,2,206
6/29/2019,6/29/2019,3,466
6/29/2019,6/29/2019,4,342
6/29/2019,6/29/2019,5,310
6/30/2019,6/30/2019,1,30
6/30/2019,6/30/2019,2,151
6/30/2019,6/30/2019,3,714
6/30/2019,6/30/2019,4,336
6/30/2019,6/30/2019,5,288
7/5/2019,7/5/2019,1,61
7/6/2019,7/6/2019,1,49
7/6/2019,7/6/2019,2,36
7/6/2019,7/6/2019,3,51
7/6/2019,7/6/2019,4,22
7/7/2019,7/7/2019,1,929
7/7/2019,7/7/2019,2,516
7/7/2019,7/7/2019,3,1357
7/7/2019,7/7/2019,4,1049
7/7/2019,7/7/2019,5,2084
7/8/2019,7/8/2019,1,83
7/8/2019,7/8/2019,2,65
7/8/2019,7/8/2019,3,18
7/8/2019,7/8/2019,4,23
7/8/2019,7/8/2019,5,13
7/9/2019,7/9/2019,1,122
7/9/2019,7/9/2019,2,295
7/9/2019,7/9/2019,3,742
7/9/2019,7/9/2019,4,415
7/9/2019,7/9/2019,5,442
7/10/2019,7/10/2019,1,536
7/10/2019,7/10/2019,2,480
7/10/2019,7/10/2019,3,1056
7/10/2019,7/10/2019,4,558
7/10/2019,7/10/2019,5,530
7/11/2019,7/11/2019,1,444
7/11/2019,7/11/2019,2,774
7/11/2019,7/11/2019,3,1424
7/11/2019,7/11/2019,4,1015
7/11/2019,7/11/2019,5,1265
7/12/2019,7/12/2019,1,485
7/12/2019,7/12/2019,2,1056
7/12/2019,7/12/2019,3,2942
7/12/2019,7/12/2019,4,1649
7/12/2019,7/12/2019,5,1823
7/13/2019,7/13/2019,1,341
7/13/2019,7/13/2019,2,700
7/13/2019,7/13/2019,3,1928
7/13/2019,7/13/2019,4,1104
7/13/2019,7/13/2019,5,1236
6/16/2019,6/16/2019,2,5
6/16/2019,6/16/2019,3,37
6/16/2019,6/16/2019,4,8
6/16/2019,6/16/2019,5,8
6/15/2019,6/15/2019,1,20
6/15/2019,6/15/2019,2,84
6/15/2019,6/15/2019,3,467
6/15/2019,6/15/2019,4,187
6/15/2019,6/15/2019,5,173
6/5/2019,6/5/2019,1,17
6/5/2019,6/5/2019,2,27
6/5/2019,6/5/2019,3,147
6/5/2019,6/5/2019,4,48
6/5/2019,6/5/2019,5,42
7/2/2019,7/2/2019,1,28
7/2/2019,7/2/2019,2,55
7/2/2019,7/2/2019,3,360
7/2/2019,7/2/2019,4,185
7/2/2019,7/2/2019,5,83
7/3/2019,7/3/2019,1,61
7/3/2019,7/3/2019,2,144
7/3/2019,7/3/2019,3,31
7/3/2019,7/3/2019,4,118
7/3/2019,7/3/2019,5,125
7/4/2019,7/4/2019,1,17
7/4/2019,7/4/2019,2,27
7/4/2019,7/4/2019,3,147
7/4/2019,7/4/2019,4,48
7/4/2019,7/4/2019,5,42
6/8/2019,6/8/2019,1,12
6/8/2019,6/8/2019,2,25
6/8/2019,6/8/2019,3,160
6/8/2019,6/8/2019,4,85
6/8/2019,6/8/2019,5,83
6/9/2019,6/9/2019,1,1
6/9/2019,6/9/2019,2,4
6/9/2019,6/9/2019,3,31
6/9/2019,6/9/2019,4,18
6/9/2019,6/9/2019,5,25
6/3/2019,6/3/2019,1,22
6/3/2019,6/3/2019,2,71
6/3/2019,6/3/2019,3,300
6/3/2019,6/3/2019,4,141
6/3/2019,6/3/2019,5,98
6/10/2019,6/10/2019,1,22
6/10/2019,6/10/2019,2,70
6/10/2019,6/10/2019,3,323
6/10/2019,6/10/2019,4,178
6/10/2019,6/10/2019,5,217
